INSTNM,STABBR,PREDDEG,ST_FIPS,REGION,SAT_AVG,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COSTT4_A,AVGFACSAL,C150_4,PFTFTUG1_EF,C150_4_WHITE,C150_4_BLACK,C200_4,PCTFLOAN,DEBT_MDN
University of Alaska Fairbanks,AK,3,2,8,1060,5152,0.4338,0.0221,0.0668,0.0124,0.1376,0.0041,0.0444,0.0113,0.2675,16694,9431,0.2506,0.5443,0.2792,0,0.4785,0.2263,9500
University of Alabama in Huntsville,AL,3,1,5,1257,6346,0.7148,0.1131,0.0411,0.0414,0.012,0,0.0181,0.0303,0.0292,22059,9463,0.4867,0.6045,0.5253,0.3478,0.5098,0.4312,13522
Auburn University,AL,3,1,5,1217,22095,0.8285,0.0673,0.0335,0.0252,0.0052,0.0003,0.0128,0.0214,0.0059,29794,9945,0.7501,0.7797,0.7644,0.6622,0.7373,0.3279,17000
The University of Alabama,AL,3,1,5,1202,31663,0.7841,0.1037,0.0437,0.0118,0.0036,0.0009,0.0297,0.0192,0.0033,28422,9802,0.6871,0.8345,0.7119,0.5581,0.6782,0.4007,17340
Samford University,AL,3,1,5,1170,3324,0.8309,0.0692,0.0391,0.0114,0.0021,0,0.0174,0.0232,0.0066,43666,8626,0.7257,0.8902,0.7354,0.6596,0.6695,0.3277,15832
Birmingham-Southern College,AL,3,1,5,1150,1289,0.7921,0.1171,0.0217,0.0489,0.007,0,0.0109,0,0.0023,48510,7233,0.6821,0.9563,0.7114,0.3571,0.6489,0.4729,19500
University of Alabama at Birmingham,AL,3,1,5,1125,12047,0.5786,0.2626,0.0309,0.0598,0.0028,0.0004,0.0387,0.0179,0.0083,22684,10517,0.5309,0.5383,0.5266,0.49,0.5936,0.5179,14979.5
Spring Hill College,AL,3,1,5,1121,1379,0.6896,0.1465,0.0319,0.0138,0.0058,0.0036,0.0464,0.0283,0.0341,47815,6561,0.5281,0.9053,0.5522,0.4127,0.5872,0.75,20500
University of Montevallo,AL,3,1,5,1069,2399,0.7074,0.153,0.0438,0.0088,0.0038,0,0.0321,0.0129,0.0383,24599,7512,0.4988,0.7484,0.4985,0.449,0.4872,0.5722,17028
University of South Alabama,AL,3,1,5,1067,11483,0.5738,0.2203,0.0295,0.0301,0.0071,0.0011,0.0293,0.0883,0.0205,19511,7254,0.3773,0.6616,0.4013,0.2875,0.4221,0.5622,15000
Jacksonville State University,AL,3,1,5,1062,6714,0.72,0.1939,0.0107,0.0063,0.0071,0.0007,0,0.0262,0.035,20750,6945,0.3547,0.666,0.4159,0.2394,0.3395,0.6435,16450
University of Mobile,AL,3,1,5,1029,1367,0.5384,0.196,0.019,0.008,0.0088,0,0.0271,0.0432,0.1595,34482,5106,0.4764,0.655,0.5281,0.375,0.4274,0.7663,16750
University of North Alabama,AL,3,1,5,1028,5846,0.7188,0.1456,0.0287,0.0051,0.0108,0.0009,0.0277,0.0299,0.0325,16601,7299,0.435,0.6676,0.4583,0.3212,0.4393,0.7009,12750
Judson College,AL,3,1,5,1013,327,0.7064,0.1896,0.0122,0.0214,0.0031,0,0.0061,0,0.0612,30562,5666,0.3333,0.5181,0.3671,0.1,0.4421,0.5642,9500
Auburn University at Montgomery,AL,3,1,5,1009,4171,0.5126,0.3627,0.0141,0.0247,0.006,0.001,0.0319,0.0412,0.0058,19255,7251,0.2261,0.5279,0.3204,0.1184,0.2764,0.5565,10750
Huntingdon College,AL,3,1,5,1001,1140,0.6421,0.2114,0.0395,0.0035,0.0088,0.0009,0.0421,0.0018,0.05,34207,6615,0.3875,0.6942,0.375,0.3158,0.4625,0.7093,16950
Troy University,AL,3,1,5,992,13745,0.5264,0.3115,0.0357,0.008,0.0059,0.0015,0.0288,0.0452,0.037,18404,6405,0.3746,0.4986,0.4847,0.2612,0.3852,0.6116,14250
Faulkner University,AL,3,1,5,972,2297,0.4101,0.5037,0.0222,0.0044,0.0048,0.0026,0.02,0.0244,0.0078,30557,5723,0.3348,0.3402,0.3308,0.2923,0.2857,0.6954,14450
Southeastern Bible College,AL,3,1,5,970,143,0.6224,0.3497,0.007,0,0,0,0,0.007,0.014,20923,4569,0.3636,0.325,0.5,0,0.1538,0.7219,16250
University of West Alabama,AL,3,1,5,969,1974,0.4458,0.4134,0.0203,0.002,0.003,0.001,0.0172,0.0593,0.038,18533,6249,0.3105,0.5883,0.3614,0.2131,0.3577,0.6846,13000
Alabama A & M University,AL,3,1,5,849,4616,0.0256,0.9129,0.0076,0.0019,0.0024,0.0017,0.0401,0.0065,0.0013,22667,7028,0.2749,0.8504,0.1333,0.2795,0.3755,0.7667,13246
